flare_id,GOES_class,stix_start_UTC,stix_end_UTC,mwa_start_UTC,mwa_end_UTC,flare_duration_sec,overlap_percentage,projectids,obs_ids
2408050145,C4.4,2024-08-05 01:38:39.690000+00:00,2024-08-05 01:55:19.692000+00:00,2024-08-05 01:38:39.690000+00:00,2024-08-05 01:55:19.692000+00:00,1000,1,"['G0002', 'G0002']","[1406857448, 1406858048]"
2408090742,C4.4,2024-08-09 07:40:03.859000+00:00,2024-08-09 07:49:59.861000+00:00,2024-08-09 07:40:03.859000+00:00,2024-08-09 07:49:59.861000+00:00,596,1,['G0002'],[1407224568]
2408110318,C4.4,2024-08-11 03:16:27.747000+00:00,2024-08-11 03:23:55.748000+00:00,2024-08-11 03:16:27.747000+00:00,2024-08-11 03:23:55.748000+00:00,448,1,['G0002'],[1407381456]
2408190510,C4.4,2024-08-19 05:07:31.325000+00:00,2024-08-19 05:14:43.325000+00:00,2024-08-19 05:07:31.325000+00:00,2024-08-19 05:14:43.325000+00:00,432,1,['G0002'],[1408079688]
2408200647,C4.4,2024-08-20 06:39:03.493000+00:00,2024-08-20 06:55:51.495000+00:00,2024-08-20 06:39:03.493000+00:00,2024-08-20 06:55:51.495000+00:00,1008,1,"['G0002', 'G0002']","[1408171352, 1408171952]"
2408090352,C4.3,2024-08-09 03:33:51.833000+00:00,2024-08-09 03:59:27.835000+00:00,2024-08-09 03:33:51.833000+00:00,2024-08-09 03:59:27.835000+00:00,1536,1,"['G0002', 'G0002', 'G0002']","[1407209896, 1407210520, 1407211120]"
2408310647,C4.3,2024-08-31 06:31:40.432000+00:00,2024-08-31 07:31:48.438000+00:00,2024-08-31 06:31:40.432000+00:00,2024-08-31 07:31:48.438000+00:00,3608,1,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1409121016, 1409121272, 1409121872, 1409122912, 1409123512, 1409124112, 1409124712]"
2501270712,C4.3,2025-01-27 07:00:22.371000+00:00,2025-01-27 07:32:10.374000+00:00,2025-01-27 07:00:22.371000+00:00,2025-01-27 07:32:10.374000+00:00,1908,1,"['G0002', 'G0002', 'G0002']","[1421996672, 1421997280, 1421998192]"
2408170546,C4.2,2024-08-17 05:41:03.512000+00:00,2024-08-17 05:50:35.513000+00:00,2024-08-17 05:41:03.512000+00:00,2024-08-17 05:50:35.513000+00:00,572,1,['G0002'],[1407908552]
2410270237,C4.2,2024-10-27 02:24:08.578000+00:00,2024-10-27 02:41:48.580000+00:00,2024-10-27 02:24:08.578000+00:00,2024-10-27 02:41:48.580000+00:00,1060,1,"['G0002', 'G0002']","[1414031312, 1414031912]"
2407070112,C4.1,2024-07-07 01:02:12.436000+00:00,2024-07-07 01:28:24.439000+00:00,2024-07-07 01:02:12.436000+00:00,2024-07-07 01:28:24.439000+00:00,1572,1,"['G0002', 'G0002', 'G0002']","[1404349592, 1404350200, 1404350800]"
2408160310,C4.1,2024-08-16 03:08:55.935000+00:00,2024-08-16 03:29:23.938000+00:00,2024-08-16 03:08:55.935000+00:00,2024-08-16 03:29:23.938000+00:00,1228,1,"['G0002', 'G0002']","[1407813336, 1407813936]"
2409180339,C4.1,2024-09-18 03:34:53.288000+00:00,2024-09-18 03:44:57.289000+00:00,2024-09-18 03:34:53.288000+00:00,2024-09-18 03:44:57.289000+00:00,604,1,['G0002'],[1410666144]
2407310255,C4.0,2024-07-31 02:51:15.511000+00:00,2024-07-31 02:59:51.512000+00:00,2024-07-31 02:51:15.511000+00:00,2024-07-31 02:59:51.512000+00:00,516,1,['G0002'],[1406429536]
2407310122,C3.9,2024-07-31 01:16:15.500000+00:00,2024-07-31 01:28:55.502000+00:00,2024-07-31 01:16:15.500000+00:00,2024-07-31 01:28:55.502000+00:00,760,1,['G0002'],[1406423912]
2409100658,C3.9,2024-09-10 06:33:08.623000+00:00,2024-09-10 07:21:00.629000+00:00,2024-09-10 06:33:08.623000+00:00,2024-09-10 07:21:00.629000+00:00,2872,1,"['G0002', 'G0002', 'G0002', 'G0002']","[1409985752, 1409986712, 1409987312, 1409987912]"
2409290643,C3.9,2024-09-29 06:38:18.394000+00:00,2024-09-29 06:59:02.396000+00:00,2024-09-29 06:38:18.394000+00:00,2024-09-29 06:59:02.396000+00:00,1244,1,"['G0002', 'G0002']","[1411627320, 1411628088]"
2410220121,C3.9,2024-10-22 01:13:04.072000+00:00,2024-10-22 01:31:52.074000+00:00,2024-10-22 01:13:04.072000+00:00,2024-10-22 01:31:52.074000+00:00,1128,1,"['G0002', 'G0002']","[1413595312, 1413595912]"
2410220354,C3.9,2024-10-22 03:45:56.091000+00:00,2024-10-22 04:09:24.092000+00:00,2024-10-22 03:45:56.091000+00:00,2024-10-22 04:09:24.092000+00:00,1408,1,"['G0002', 'G0002']","[1413604168, 1413604768]"
