flare_id,GOES_class,stix_start_UTC,stix_end_UTC,mwa_start_UTC,mwa_end_UTC,flare_duration_sec,overlap_percentage,projectids,obs_ids,obs_names,calibrator_obs_ids,calibrator_obs_names,calibrator_time_diff_hr
2410130137,C2.8,2024-10-13 01:33:24.133000+00:00,2024-10-13 02:03:40.137000+00:00,2024-10-13 01:33:24.133000+00:00,2024-10-13 02:03:40.137000+00:00,1816,1,"['G0002', 'G0002', 'G0002']","[1412818592, 1412819360, 1412819960]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411100243,C2.8,2024-11-10 02:36:05.204000+00:00,2024-11-10 02:50:53.206000+00:00,2024-11-10 02:36:05.204000+00:00,2024-11-10 02:50:53.206000+00:00,888,1,"['G0002', 'G0002']","[1415241496, 1415242096]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411120123,C2.8,2024-11-12 01:12:49.117000+00:00,2024-11-12 01:54:05.117000+00:00,2024-11-12 01:12:49.117000+00:00,2024-11-12 01:54:05.117000+00:00,2476,1,"['G0002', 'G0002', 'G0002', 'G0002']","[1415409472, 1415410080, 1415410680, 1415411280]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411120432,C2.8,2024-11-12 04:15:29.132000+00:00,2024-11-12 05:02:17.137000+00:00,2024-11-12 04:15:29.132000+00:00,2024-11-12 05:02:17.137000+00:00,2808,1,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1415420320, 1415420928, 1415421528, 1415422128, 1415422736]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411260649,C2.8,2024-11-26 06:39:41.571000+00:00,2024-11-26 07:20:25.576000+00:00,2024-11-26 06:39:41.571000+00:00,2024-11-26 07:20:25.576000+00:00,2444,1,"['G0002', 'G0002', 'G0002', 'G0002']","[1416638616, 1416639224, 1416640072, 1416640672]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2412020140,C2.8,2024-12-02 01:36:56.189000+00:00,2024-12-02 01:45:44.190000+00:00,2024-12-02 01:36:56.189000+00:00,2024-12-02 01:45:44.190000+00:00,528,1,['G0002'],[1417138832],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2501100129,C2.8,2025-01-10 01:24:37.348000+00:00,2025-01-10 01:35:21.349000+00:00,2025-01-10 01:24:37.348000+00:00,2025-01-10 01:35:21.349000+00:00,644,1,['G0002'],[1420507952],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2501100704,C2.8,2025-01-10 06:56:45.385000+00:00,2025-01-10 07:17:33.387000+00:00,2025-01-10 06:56:45.385000+00:00,2025-01-10 07:17:33.387000+00:00,1248,1,"['G0002', 'G0002']","[1420527864, 1420528472]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2501190313,C2.8,2025-01-19 03:10:25.582000+00:00,2025-01-19 03:21:49.583000+00:00,2025-01-19 03:10:25.582000+00:00,2025-01-19 03:21:49.583000+00:00,684,1,['G0002'],[1421291768],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2501240106,C2.8,2025-01-24 01:04:42.058000+00:00,2025-01-24 01:11:34.059000+00:00,2025-01-24 01:04:42.058000+00:00,2025-01-24 01:11:34.059000+00:00,412,1,['G0002'],[1421716112],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410240113,C2.7,2024-10-24 01:01:52.291000+00:00,2024-10-24 01:50:36.296000+00:00,2024-10-24 01:01:52.291000+00:00,2024-10-24 01:50:36.296000+00:00,2924,1,"['G0002', 'G0002', 'G0002', 'G0002']","[1413767448, 1413768048, 1413768648, 1413769568]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410240246,C2.7,2024-10-24 02:40:40.301000+00:00,2024-10-24 02:58:16.303000+00:00,2024-10-24 02:40:40.301000+00:00,2024-10-24 02:58:16.303000+00:00,1056,1,"['G0002', 'G0002']","[1413773000, 1413773608]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410250258,C2.7,2024-10-25 02:54:16.362000+00:00,2024-10-25 03:04:44.363000+00:00,2024-10-25 02:54:16.362000+00:00,2024-10-25 03:04:44.363000+00:00,628,1,['G0002'],[1413860648],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411190351,C2.7,2024-11-19 03:44:29.242000+00:00,2024-11-19 03:58:37.244000+00:00,2024-11-19 03:44:29.242000+00:00,2024-11-19 03:58:37.244000+00:00,848,1,"['G0002', 'G0002']","[1416023320, 1416023920]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411190413,C2.7,2024-11-19 04:02:57.244000+00:00,2024-11-19 04:51:45.250000+00:00,2024-11-19 04:02:57.244000+00:00,2024-11-19 04:51:45.250000+00:00,2928,1,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1416024528, 1416025128, 1416025728, 1416026336, 1416026936]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411200357,C2.7,2024-11-20 03:52:57.403000+00:00,2024-11-20 04:14:01.405000+00:00,2024-11-20 03:52:57.403000+00:00,2024-11-20 04:14:01.405000+00:00,1264,1,"['G0002', 'G0002']","[1416110320, 1416110928]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411300756,C2.7,2024-11-30 07:52:52.114000+00:00,2024-11-30 08:02:16.115000+00:00,2024-11-30 07:52:52.114000+00:00,2024-11-30 08:02:16.115000+00:00,564,1,['G0002'],[1416988824],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2502130730,C2.7,2025-02-13 07:11:36.590000+00:00,2025-02-13 07:51:48.594000+00:00,2025-02-13 07:11:36.590000+00:00,2025-02-13 07:51:48.594000+00:00,2412,1,"['G0002', 'G0002', 'G0002', 'G0002']","[1423465912, 1423466520, 1423467120, 1423467728]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2502170358,C2.7,2025-02-17 03:56:56.708000+00:00,2025-02-17 04:08:44.709000+00:00,2025-02-17 03:56:56.708000+00:00,2025-02-17 04:08:44.709000+00:00,708,1,['G0002'],[1423800360],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411160725,C2.6,2024-11-16 07:23:05.090000+00:00,2024-11-16 07:36:09.091000+00:00,2024-11-16 07:23:05.090000+00:00,2024-11-16 07:36:09.091000+00:00,784,1,['G0002'],[1415777408],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2501310506,C2.6,2025-01-31 05:03:54.405000+00:00,2025-01-31 05:11:34.403000+00:00,2025-01-31 05:03:54.405000+00:00,2025-01-31 05:11:34.403000+00:00,459,1,['G0002'],[1422335416],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2502180319,C2.6,2025-02-18 03:17:52.763000+00:00,2025-02-18 03:27:12.764000+00:00,2025-02-18 03:17:52.763000+00:00,2025-02-18 03:27:12.764000+00:00,560,1,['G0002'],[1423884032],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410140158,C2.5,2024-10-14 01:21:08.093000+00:00,2024-10-14 02:09:15.999000+00:00,2024-10-14 01:21:08.093000+00:00,2024-10-14 02:09:15.999000+00:00,2887,1,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1412904368, 1412904968, 1412905712, 1412906312, 1412906912]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411120220,C2.5,2024-11-12 02:04:25.118000+00:00,2024-11-12 02:43:05.122000+00:00,2024-11-12 02:04:25.118000+00:00,2024-11-12 02:43:05.122000+00:00,2320,1,"['G0002', 'G0002', 'G0002', 'G0002']","[1415412488, 1415413088, 1415413696, 1415414296]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411230125,C2.5,2024-11-23 01:19:33.563000+00:00,2024-11-23 01:31:13.564000+00:00,2024-11-23 01:19:33.563000+00:00,2024-11-23 01:31:13.564000+00:00,700,1,['G0002'],[1416360480],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411240227,C2.5,2024-11-24 02:18:05.628000+00:00,2024-11-24 02:29:37.630000+00:00,2024-11-24 02:18:05.628000+00:00,2024-11-24 02:29:37.630000+00:00,692,1,"['G0002', 'G0002']","[1416449896, 1416450496]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2501310130,C2.5,2025-01-31 01:28:10.378000+00:00,2025-01-31 01:37:46.380000+00:00,2025-01-31 01:28:10.378000+00:00,2025-01-31 01:37:46.380000+00:00,576,1,['G0002'],[1422322360],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2502170544,C2.5,2025-02-17 05:42:12.719000+00:00,2025-02-17 05:49:24.720000+00:00,2025-02-17 05:42:12.719000+00:00,2025-02-17 05:49:24.720000+00:00,432,1,['G0002'],[1423806392],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2411190245,C2.4,2024-11-19 02:43:33.236000+00:00,2024-11-19 02:52:01.237000+00:00,2024-11-19 02:43:33.236000+00:00,2024-11-19 02:52:01.237000+00:00,508,1,['G0002'],[1416019704],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2501180658,C2.4,2025-01-18 06:57:25.449000+00:00,2025-01-18 07:16:01.451000+00:00,2025-01-18 06:57:25.449000+00:00,2025-01-18 07:16:01.451000+00:00,1116,1,"['G0002', 'G0002']","[1421219064, 1421219664]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2501310713,C2.4,2025-01-31 07:09:26.316000+00:00,2025-01-31 07:17:30.317000+00:00,2025-01-31 07:09:26.316000+00:00,2025-01-31 07:17:30.317000+00:00,484,1,['G0002'],[1422342704],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2502020111,C2.4,2025-02-02 01:02:02.394000+00:00,2025-02-02 01:16:06.395000+00:00,2025-02-02 01:02:02.394000+00:00,2025-02-02 01:16:06.395000+00:00,844,1,"['G0002', 'G0002']","[1422493464, 1422494072]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2502220723,C2.4,2025-02-22 07:21:01.826000+00:00,2025-02-22 07:31:53.827000+00:00,2025-02-22 07:21:01.826000+00:00,2025-02-22 07:31:53.827000+00:00,652,1,['G0002'],[1424244184],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410110451,C2.3,2024-10-11 04:48:27.932000+00:00,2024-10-11 05:25:31.937000+00:00,2024-10-11 04:48:27.932000+00:00,2024-10-11 05:25:31.937000+00:00,2224,1,"['G0002', 'G0002', 'G0002']","[1412657688, 1412658288, 1412658896]","['Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]', 'Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
2410150631,C2.3,2024-10-15 06:28:19.986000+00:00,2024-10-15 06:36:11.987000+00:00,2024-10-15 06:28:19.986000+00:00,2024-10-15 06:36:11.987000+00:00,472,1,['G0002'],[1413008952],"['Sun_pointing_Sun_Ch[58,61,...,210,226]']",[],[],[]
